city,tier
Agartala,Tier-3
Agra,Tier-2
Ahmedabad,Tier-2
Ahmednagar,Tier-3
Aizawl,Tier-3
Ajmer,Tier-3
Akola,Tier-3
Aligarh,Tier-3
Allahabad,Tier-2
Alwar,Tier-3
Ambala,Tier-3
Ambattur,Tier-3
Amravati,Tier-3
Amritsar,Tier-2
Anand,Tier-3
Anantapur,Tier-3
Asansol,Tier-2
Aurangabad,Tier-2
Bareilly,Tier-3
Belagavi,Tier-3
Bellary,Tier-3
Bengaluru,Tier-1
Bhagalpur,Tier-3
Bharatpur,Tier-3
Bhavnagar,Tier-3
Bhilai,Tier-3
Bhilwara,Tier-3
Bhiwandi,Tier-3
Bhopal,Tier-2
Bhubaneswar,Tier-3
Bidar,Tier-3
Bijapur,Tier-3
Bikaner,Tier-3
Bilaspur,Tier-3
Bokaro,Tier-3
Chandigarh,Tier-2
Chennai,Tier-1
Coimbatore,Tier-2
Cuttack,Tier-3
Daman,Tier-3
Darbhanga,Tier-3
Davanagere,Tier-3
Dehradun,Tier-3
Delhi,Tier-1
Dhanbad,Tier-2
Dibrugarh,Tier-3
Dindigul,Tier-3
Durg,Tier-3
Durgapur,Tier-3
Erode,Tier-3
Faridabad,Tier-2
Firozabad,Tier-3
Gandhinagar,Tier-3
Gangtok,Tier-3
Gaya,Tier-3
Ghaziabad,Tier-2
Gorakhpur,Tier-3
Gulbarga,Tier-3
Guntur,Tier-3
Gurugram,Tier-2
Guwahati,Tier-3
Gwalior,Tier-2
Haldwani,Tier-3
Haora,Tier-2
Hisar,Tier-3
Hubballi,Tier-3
Hyderabad,Tier-1
Imphal,Tier-3
Indore,Tier-2
Itanagar,Tier-3
Jabalpur,Tier-2
Jaipur,Tier-2
Jalandhar,Tier-3
Jalgaon,Tier-3
Jammu,Tier-2
Jamnagar,Tier-3
Jamshedpur,Tier-2
Jhansi,Tier-3
Jodhpur,Tier-3
Junagadh,Tier-3
Kakinada,Tier-3
Kalyan,Tier-3
Kanpur,Tier-2
Karimnagar,Tier-3
Karnal,Tier-3
Kavaratti,Tier-3
Kochi,Tier-2
Kohima,Tier-3
Kolhapur,Tier-3
Kolkata,Tier-1
Kollam,Tier-3
Korba,Tier-3
Kota,Tier-2
Kozhikode,Tier-2
Kurnool,Tier-3
Latur,Tier-3
Lucknow,Tier-2
Ludhiana,Tier-2
Madurai,Tier-3
Malappuram,Tier-2
Malegaon,Tier-3
Mangaluru,Tier-3
Mathura,Tier-3
Meerut,Tier-2
Moradabad,Tier-3
Mumbai,Tier-1
Muzaffarnagar,Tier-3
Muzaffarpur,Tier-3
Mysuru,Tier-3
Nagpur,Tier-3
Nanded,Tier-3
Nashik,Tier-2
Nellore,Tier-3
Noida,Tier-2
Panaji,Tier-3
Panipat,Tier-3
Pathankot,Tier-3
Patiala,Tier-3
Patna,Tier-3
Pondicherry,Tier-3
Port Blair,Tier-3
Prayagraj,Tier-2
Pune,Tier-2
Puri,Tier-3
Raipur,Tier-3
Rajahmundry,Tier-3
Rajkot,Tier-2
Ranchi,Tier-3
Ratlam,Tier-3
Rourkela,Tier-3
Saharanpur,Tier-3
Salem,Tier-3
Sangli,Tier-3
Shillong,Tier-3
Shimla,Tier-3
Sikar,Tier-3
Siliguri,Tier-3
Silvassa,Tier-3
Solapur,Tier-3
Sonipat,Tier-3
Srinagar,Tier-2
Surat,Tier-2
Thane,Tier-2
Thanjavur,Tier-3
Thiruvananthapuram,Tier-2
Thrissur,Tier-3
Tiruchirappalli,Tier-3
Tirunelveli,Tier-3
Tirupati,Tier-3
Tiruppur,Tier-3
Udaipur,Tier-3
Ujjain,Tier-3
Vadodara,Tier-2
Varanasi,Tier-2
Vasai-Virar,Tier-2
Vellore,Tier-3
Vijayawada,Tier-3
Visakhapatnam,Tier-2
Warangal,Tier-3
